天津频道,#genre#
天津卫视,http://192.168.18.6:6636/udp/225.1.1.111:5002
天津新闻,http://192.168.18.6:6636/udp/225.1.1.130:5002
天津文艺,http://192.168.18.6:6636/udp/225.1.1.131:5002
天津影视,http://192.168.18.6:6636/udp/225.1.1.149:5002
天津都市,http://192.168.18.6:6636/udp/225.1.1.128:5002
天津体育,http://192.168.18.6:6636/udp/225.1.1.122:5002
天津教育,http://192.168.18.6:6636/udp/225.1.1.129:5002
天视家居,http://192.168.18.6:6636/udp/225.1.1.243:5002
天视文旅,http://192.168.18.6:6636/udp/225.1.2.123:5002
滨海新闻,http://192.168.18.6:6636/udp/225.1.2.7:5002
滨海综艺,http://192.168.18.6:6636/udp/225.1.2.8:5002
大港油田,http://192.168.18.6:6636/udp/225.1.2.14:5002
河东综合,http://192.168.18.6:6636/udp/225.1.2.2:5002
河西频道,http://192.168.18.6:6636/udp/225.1.2.4:5002
静海综合,http://192.168.18.6:6636/udp/225.1.1.110:5002
宝坻综合,http://192.168.18.6:6636/udp/225.1.1.83:5002
蓟州综合,http://192.168.18.6:6636/udp/225.1.1.82:5002
央视频道,#genre#
CCTV1,http://192.168.18.6:6636/udp/225.1.1.120:5002
CCTV2,http://192.168.18.6:6636/udp/225.1.1.133:5002
CCTV3,http://192.168.18.6:6636/udp/225.1.1.158:5002
CCTV4,http://192.168.18.6:6636/udp/225.1.1.150:5002
CCTV5,http://192.168.18.6:6636/udp/225.1.1.160:5002
CCTV5+,http://192.168.18.6:6636/udp/225.1.1.121:5002
CCTV6,http://192.168.18.6:6636/udp/225.1.1.195:5002
CCTV7,http://192.168.18.6:6636/udp/225.1.1.138:5002
CCTV8,http://192.168.18.6:6636/udp/225.1.1.196:5002
CCTV9,http://192.168.18.6:6636/udp/225.1.1.119:5002
CCTV10,http://192.168.18.6:6636/udp/225.1.1.140:5002
CCTV11,http://192.168.18.6:6636/udp/225.1.2.192:5002
CCTV12,http://192.168.18.6:6636/udp/225.1.1.142:5002
CCTV13,http://192.168.18.6:6636/udp/225.1.2.193:5002
CCTV14,http://192.168.18.6:6636/udp/225.1.1.144:5002
